sample_id,pair_id,attack,model,pretrained,source_name,target_name,epsilon,alpha,steps,threshold,similarity_before,attack_index_similarity_after_attack,attack_index_accepted_after_attack,attack_index_attack_success_before_defense,accepted_before,accepted_after_attack,attack_success_before_defense,defense,defense_kind,defense_params,evaluation_basis,defense_input_similarity_after_attack,similarity_after_defense,accepted_after_defense,attack_success_after_defense,defense_success,defense_bypassed,defense_time_sec,source_file,target_enroll_file,adv_file,perturbation_file,defended_file,source_result_file,defense_result_id,schema_version,status,error_code
vf_ea54843f0264,pair_000002,targeted_pgd_facenet_verification,facenet-pytorch/InceptionResnetV1,vggface2,John_Ashcroft,Tony_Blair,0.005,0.001,10,0.47966246581077576,0.25670093297958374,0.518316924571991,True,True,False,false,false,jpeg,transform,"{""quality"":75}",artifact_reload,0.4593991,0.45854035,false,false,false,false,0.0023,samples/0.005/vf_ea54843f0264/source/John_Ashcroft_0030.jpg,samples/0.005/vf_ea54843f0264/target_enroll/Tony_Blair_0051.jpg,samples/0.005/vf_ea54843f0264/adversarial/John_Ashcroft_John_Ashcroft_0030_to_Tony_Blair_Tony_Blair_0051_facenet_eps0.005_a0.001_s10.jpg,samples/0.005/vf_ea54843f0264/perturbation/John_Ashcroft_John_Ashcroft_0030_to_Tony_Blair_Tony_Blair_0051_facenet_eps0.005_a0.001_s10_perturbation.jpg,outputs/verification_defense/jpeg/images/vf_ea54843f0264_jpeg.jpg,outputs/verification_defense/facenet_verification_defense_results.csv,def_2d9cda5a8ff5fdc9f26d,1.0,ok,
vf_ea54843f0264,pair_000002,targeted_pgd_facenet_verification,facenet-pytorch/InceptionResnetV1,vggface2,John_Ashcroft,Tony_Blair,0.005,0.001,10,0.47966246581077576,0.25670093297958374,0.518316924571991,True,True,False,false,false,smoothing,transform,"{""radius"":3.0}",artifact_reload,0.4593991,0.1025261,false,false,false,false,0.0027,samples/0.005/vf_ea54843f0264/source/John_Ashcroft_0030.jpg,samples/0.005/vf_ea54843f0264/target_enroll/Tony_Blair_0051.jpg,samples/0.005/vf_ea54843f0264/adversarial/John_Ashcroft_John_Ashcroft_0030_to_Tony_Blair_Tony_Blair_0051_facenet_eps0.005_a0.001_s10.jpg,samples/0.005/vf_ea54843f0264/perturbation/John_Ashcroft_John_Ashcroft_0030_to_Tony_Blair_Tony_Blair_0051_facenet_eps0.005_a0.001_s10_perturbation.jpg,outputs/verification_defense/smoothing/images/vf_ea54843f0264_smoothing.png,outputs/verification_defense/facenet_verification_defense_results.csv,def_92d44ffa3ae7794369b7,1.0,ok,
vf_ea54843f0264,pair_000002,targeted_pgd_facenet_verification,facenet-pytorch/InceptionResnetV1,vggface2,John_Ashcroft,Tony_Blair,0.005,0.001,10,0.47966246581077576,0.25670093297958374,0.518316924571991,True,True,False,false,false,bitdepth,transform,"{""bits"":4}",artifact_reload,0.4593991,0.41163933,false,false,false,false,0.0027,samples/0.005/vf_ea54843f0264/source/John_Ashcroft_0030.jpg,samples/0.005/vf_ea54843f0264/target_enroll/Tony_Blair_0051.jpg,samples/0.005/vf_ea54843f0264/adversarial/John_Ashcroft_John_Ashcroft_0030_to_Tony_Blair_Tony_Blair_0051_facenet_eps0.005_a0.001_s10.jpg,samples/0.005/vf_ea54843f0264/perturbation/John_Ashcroft_John_Ashcroft_0030_to_Tony_Blair_Tony_Blair_0051_facenet_eps0.005_a0.001_s10_perturbation.jpg,outputs/verification_defense/bitdepth/images/vf_ea54843f0264_bitdepth.png,outputs/verification_defense/facenet_verification_defense_results.csv,def_a244429713bf96a04096,1.0,ok,
vf_ea54843f0264,pair_000002,targeted_pgd_facenet_verification,facenet-pytorch/InceptionResnetV1,vggface2,John_Ashcroft,Tony_Blair,0.005,0.001,10,0.47966246581077576,0.25670093297958374,0.518316924571991,True,True,False,true,true,adv_training,trained,"{""epochs"":5,""lr"":1e-05,""margin"":0.15}",legacy_record,0.518316924571991,0.0127609,false,false,true,false,,samples/0.005/vf_ea54843f0264/source/John_Ashcroft_0030.jpg,samples/0.005/vf_ea54843f0264/target_enroll/Tony_Blair_0051.jpg,samples/0.005/vf_ea54843f0264/adversarial/John_Ashcroft_John_Ashcroft_0030_to_Tony_Blair_Tony_Blair_0051_facenet_eps0.005_a0.001_s10.jpg,samples/0.005/vf_ea54843f0264/perturbation/John_Ashcroft_John_Ashcroft_0030_to_Tony_Blair_Tony_Blair_0051_facenet_eps0.005_a0.001_s10_perturbation.jpg,,outputs/verification_defense/adv_training/verification_defense_adv_training.csv,def_cd91bac202b3436b170f,1.0,ok,
vf_7d3bb72dda48,pair_000004,targeted_pgd_facenet_verification,facenet-pytorch/InceptionResnetV1,vggface2,Tony_Blair,Colin_Powell,0.005,0.001,10,0.47966246581077576,0.3230995237827301,0.5578899383544922,True,True,False,true,true,jpeg,transform,"{""quality"":75}",artifact_reload,0.52593017,0.52597201,true,true,false,true,0.0012,samples/0.005/vf_7d3bb72dda48/source/Tony_Blair_0080.jpg,samples/0.005/vf_7d3bb72dda48/target_enroll/Colin_Powell_0218.jpg,samples/0.005/vf_7d3bb72dda48/adversarial/Tony_Blair_Tony_Blair_0080_to_Colin_Powell_Colin_Powell_0218_facenet_eps0.005_a0.001_s10.jpg,samples/0.005/vf_7d3bb72dda48/perturbation/Tony_Blair_Tony_Blair_0080_to_Colin_Powell_Colin_Powell_0218_facenet_eps0.005_a0.001_s10_perturbation.jpg,outputs/verification_defense/jpeg/images/vf_7d3bb72dda48_jpeg.jpg,outputs/verification_defense/facenet_verification_defense_results.csv,def_91958790a18d8ae54a31,1.0,ok,
vf_7d3bb72dda48,pair_000004,targeted_pgd_facenet_verification,facenet-pytorch/InceptionResnetV1,vggface2,Tony_Blair,Colin_Powell,0.005,0.001,10,0.47966246581077576,0.3230995237827301,0.5578899383544922,True,True,False,true,true,smoothing,transform,"{""radius"":3.0}",artifact_reload,0.52593017,0.42311728,false,false,true,false,0.0013,samples/0.005/vf_7d3bb72dda48/source/Tony_Blair_0080.jpg,samples/0.005/vf_7d3bb72dda48/target_enroll/Colin_Powell_0218.jpg,samples/0.005/vf_7d3bb72dda48/adversarial/Tony_Blair_Tony_Blair_0080_to_Colin_Powell_Colin_Powell_0218_facenet_eps0.005_a0.001_s10.jpg,samples/0.005/vf_7d3bb72dda48/perturbation/Tony_Blair_Tony_Blair_0080_to_Colin_Powell_Colin_Powell_0218_facenet_eps0.005_a0.001_s10_perturbation.jpg,outputs/verification_defense/smoothing/images/vf_7d3bb72dda48_smoothing.png,outputs/verification_defense/facenet_verification_defense_results.csv,def_439c5eb76ef51602d9d6,1.0,ok,
vf_7d3bb72dda48,pair_000004,targeted_pgd_facenet_verification,facenet-pytorch/InceptionResnetV1,vggface2,Tony_Blair,Colin_Powell,0.005,0.001,10,0.47966246581077576,0.3230995237827301,0.5578899383544922,True,True,False,true,true,bitdepth,transform,"{""bits"":4}",artifact_reload,0.52593017,0.49408603,true,true,false,true,0.0007,samples/0.005/vf_7d3bb72dda48/source/Tony_Blair_0080.jpg,samples/0.005/vf_7d3bb72dda48/target_enroll/Colin_Powell_0218.jpg,samples/0.005/vf_7d3bb72dda48/adversarial/Tony_Blair_Tony_Blair_0080_to_Colin_Powell_Colin_Powell_0218_facenet_eps0.005_a0.001_s10.jpg,samples/0.005/vf_7d3bb72dda48/perturbation/Tony_Blair_Tony_Blair_0080_to_Colin_Powell_Colin_Powell_0218_facenet_eps0.005_a0.001_s10_perturbation.jpg,outputs/verification_defense/bitdepth/images/vf_7d3bb72dda48_bitdepth.png,outputs/verification_defense/facenet_verification_defense_results.csv,def_ece7b2fcd93ae6dafd4a,1.0,ok,
vf_7d3bb72dda48,pair_000004,targeted_pgd_facenet_verification,facenet-pytorch/InceptionResnetV1,vggface2,Tony_Blair,Colin_Powell,0.005,0.001,10,0.47966246581077576,0.3230995237827301,0.5578899383544922,True,True,False,true,true,adv_training,trained,"{""epochs"":5,""lr"":1e-05,""margin"":0.15}",legacy_record,0.5578899383544922,0.08263589,false,false,true,false,,samples/0.005/vf_7d3bb72dda48/source/Tony_Blair_0080.jpg,samples/0.005/vf_7d3bb72dda48/target_enroll/Colin_Powell_0218.jpg,samples/0.005/vf_7d3bb72dda48/adversarial/Tony_Blair_Tony_Blair_0080_to_Colin_Powell_Colin_Powell_0218_facenet_eps0.005_a0.001_s10.jpg,samples/0.005/vf_7d3bb72dda48/perturbation/Tony_Blair_Tony_Blair_0080_to_Colin_Powell_Colin_Powell_0218_facenet_eps0.005_a0.001_s10_perturbation.jpg,,outputs/verification_defense/adv_training/verification_defense_adv_training.csv,def_c8903b48ea3721bb857e,1.0,ok,
vf_b5633cd5a05d,pair_000007,targeted_pgd_facenet_verification,facenet-pytorch/InceptionResnetV1,vggface2,Junichiro_Koizumi,George_W_Bush,0.005,0.001,10,0.47966246581077576,0.3100721538066864,0.7450315952301025,True,True,False,true,true,jpeg,transform,"{""quality"":75}",artifact_reload,0.69783604,0.69835806,true,true,false,true,0.0013,samples/0.005/vf_b5633cd5a05d/source/Junichiro_Koizumi_0017.jpg,samples/0.005/vf_b5633cd5a05d/target_enroll/George_W_Bush_0391.jpg,samples/0.005/vf_b5633cd5a05d/adversarial/Junichiro_Koizumi_Junichiro_Koizumi_0017_to_George_W_Bush_George_W_Bush_0391_facenet_eps0.005_a0.001_s10.jpg,samples/0.005/vf_b5633cd5a05d/perturbation/Junichiro_Koizumi_Junichiro_Koizumi_0017_to_George_W_Bush_George_W_Bush_0391_facenet_eps0.005_a0.001_s10_perturbation.jpg,outputs/verification_defense/jpeg/images/vf_b5633cd5a05d_jpeg.jpg,outputs/verification_defense/facenet_verification_defense_results.csv,def_182172a6b4a97f4f7f66,1.0,ok,
vf_b5633cd5a05d,pair_000007,targeted_pgd_facenet_verification,facenet-pytorch/InceptionResnetV1,vggface2,Junichiro_Koizumi,George_W_Bush,0.005,0.001,10,0.47966246581077576,0.3100721538066864,0.7450315952301025,True,True,False,true,true,smoothing,transform,"{""radius"":3.0}",artifact_reload,0.69783604,0.00167822,false,false,true,false,0.0014,samples/0.005/vf_b5633cd5a05d/source/Junichiro_Koizumi_0017.jpg,samples/0.005/vf_b5633cd5a05d/target_enroll/George_W_Bush_0391.jpg,samples/0.005/vf_b5633cd5a05d/adversarial/Junichiro_Koizumi_Junichiro_Koizumi_0017_to_George_W_Bush_George_W_Bush_0391_facenet_eps0.005_a0.001_s10.jpg,samples/0.005/vf_b5633cd5a05d/perturbation/Junichiro_Koizumi_Junichiro_Koizumi_0017_to_George_W_Bush_George_W_Bush_0391_facenet_eps0.005_a0.001_s10_perturbation.jpg,outputs/verification_defense/smoothing/images/vf_b5633cd5a05d_smoothing.png,outputs/verification_defense/facenet_verification_defense_results.csv,def_342e19ae12609e4eac28,1.0,ok,
