sample_id,attack_family,attack,defense,defense_params,input_adv_file,defended_file,pred_before_defense,pred_after_defense,pred_after_defense_name,target_label,true_label,attack_success_before_defense,attack_success_after_defense,recovered,target_conf_before_defense,target_conf_after_defense,true_conf_after_defense,defense_time_sec,status
atk_a36367f3c3dc,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Ariel_Sharon_0025_to_Colin_Powell_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,1,0,Ariel_Sharon,1,0,True,False,True,0.3186203241348266,0.0016318195266649127,0.9789069294929504,0.02144579600008001,ok
atk_a6418d6b5833,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Ariel_Sharon_0031_to_Colin_Powell_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,1,0,Ariel_Sharon,1,0,True,False,True,0.5691781640052795,0.008975672535598278,0.6152744293212891,0.009702281000045332,ok
atk_3253b8451cb7,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Ariel_Sharon_0042_to_Colin_Powell_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,1,0,Ariel_Sharon,1,0,True,False,True,0.6439374685287476,0.0029012442100793123,0.9753572940826416,0.009501063999778125,ok
atk_71345e3b3ae6,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Ariel_Sharon_0059_to_Colin_Powell_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,1,0,Ariel_Sharon,1,0,True,False,True,0.5868486166000366,0.002669805195182562,0.984166145324707,0.00945840499980477,ok
atk_6e1f3e1a7a04,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Ariel_Sharon_0062_to_Colin_Powell_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,1,0,Ariel_Sharon,1,0,True,False,True,0.7529547810554504,0.0009692833409644663,0.9925981760025024,0.00903060100017683,ok
atk_24fe1ce93d37,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Ariel_Sharon_0069_to_Colin_Powell_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,1,0,Ariel_Sharon,1,0,True,False,True,0.6646853089332581,0.003692353842779994,0.982105016708374,0.008420089000082953,ok
atk_d1047bdecbbb,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Ariel_Sharon_0070_to_Colin_Powell_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,1,0,Ariel_Sharon,1,0,True,False,True,0.3321306705474853,0.0023989216424524784,0.9849357604980469,0.008573958000397397,ok
atk_9f2e5d6374d0,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Ariel_Sharon_0071_to_Colin_Powell_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,1,0,Ariel_Sharon,1,0,True,False,True,0.5919658541679382,0.0033732429146766663,0.9825656414031982,0.008632764000140014,ok
atk_22b87c42ec06,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0001_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.4269560873508453,0.3135455250740051,0.6505399942398071,0.009068272999684268,ok
atk_2550f026de8b,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0033_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.3067886233329773,0.004383011721074581,0.9853964447975159,0.00864857300030053,ok
atk_9e544acc18f8,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0051_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.7657992839813232,0.008735548704862595,0.9822892546653748,0.008806920000097307,ok
atk_6dd4b2a18671,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0084_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.2733149230480194,0.0010627785231918097,0.9913964867591858,0.0083738049997919,ok
atk_ed83b9f27948,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0085_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.513058602809906,0.008134142495691776,0.9826955795288086,0.008490507999795227,ok
atk_fa690dfb3161,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0094_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.3835024237632751,0.0041176145896315575,0.9888430833816528,0.008347521999894525,ok
atk_24b4360d62b7,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0098_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.5224576592445374,0.002519134897738695,0.9918070435523987,0.00852489599992623,ok
atk_ff97e04348eb,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0105_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.4103734493255615,0.0035683314781636,0.9895032644271851,0.008510546000252361,ok
atk_2fb196999d13,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0108_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.332937628030777,0.0012843498261645436,0.9894969463348389,0.008708205000402813,ok
atk_b351ead8ca4c,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0111_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.663147509098053,0.007642993237823248,0.9831695556640625,0.008448389000022871,ok
atk_a607587be237,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0134_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.5446054339408875,0.006312206387519836,0.9829976558685303,0.008674581999912334,ok
atk_ebb91685bb34,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0160_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.459344744682312,0.0010693370131775737,0.991595447063446,0.008285432999855402,ok
atk_0112134af879,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0170_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.5722692012786865,0.015377885662019253,0.9759926199913025,0.008373742999992828,ok
atk_cafd3d471679,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0172_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.3560879230499267,0.0014640451408922672,0.9882772564888,0.008397730000069714,ok
atk_9523b3c0a8ba,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0179_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.4521600902080536,0.0032716882415115833,0.9905072450637817,0.009035805000166874,ok
atk_f250e33bc57e,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0185_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.3619630336761474,0.009344764985144138,0.9721384644508362,0.00907981899990773,ok
atk_efcb264bf3df,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0189_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.5488588809967041,0.0034258519299328327,0.9894523620605469,0.009080562000235659,ok
atk_70d81ada4329,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0218_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.2706506252288818,0.006808203645050526,0.9435449242591858,0.009006089999729738,ok
atk_e642648db454,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0223_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.4020844101905823,0.0012548931408673525,0.9911092519760132,0.009035691999997653,ok
atk_534c8a893706,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Colin_Powell_0231_to_Donald_Rumsfeld_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,2,1,Colin_Powell,2,1,True,False,True,0.351918876171112,0.0011717387242242694,0.9946988821029663,0.009424825000223791,ok
atk_509cfcdb6da4,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Donald_Rumsfeld_0002_to_George_W_Bush_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,3,2,Donald_Rumsfeld,3,2,True,False,True,0.5435528755187988,0.003451390890404582,0.9863409399986267,0.00904842899990399,ok
atk_728782832f35,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Donald_Rumsfeld_0006_to_George_W_Bush_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,3,2,Donald_Rumsfeld,3,2,True,False,True,0.594275951385498,0.003954085521399975,0.9891037940979004,0.01155729899983271,ok
atk_556dd34ba32e,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Donald_Rumsfeld_0014_to_George_W_Bush_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,3,2,Donald_Rumsfeld,3,2,True,False,True,0.5451251268386841,0.005241075064986944,0.9874072074890137,0.01372951799976363,ok
atk_5f1964b65185,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Donald_Rumsfeld_0017_to_George_W_Bush_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,3,2,Donald_Rumsfeld,3,2,True,False,True,0.6539307832717896,0.002148024272173643,0.9938750863075256,0.011360927000168886,ok
atk_c99f6f4769ff,fgsm,targeted_fgsm,adv_training,"{""attack_family"": ""pgd"", ""mix_ratio"": 0.5, ""epochs"": 5}",outputs/attacks/fgsm_face/images/Donald_Rumsfeld_0038_to_George_W_Bush_eps0.005.jpg,/content/defense_results/adv_training/best_adv.pt,3,2,Donald_Rumsfeld,3,2,True,False,True,0.7475342154502869,0.001090242643840611,0.9962137341499329,0.01261276800005362,ok
